                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.50557,                0.35705,                0.91121,                0.94317,                0.93445,                0.96765,                0.88068,                0.40111,                0.25404,                0.81361,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.49657,                0.34267,                0.90821,                0.94738,                 0.9358,                0.96945,                0.88571,                0.40025,                 0.2512,                0.81243,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.48585,                0.34231,                 0.9102,                0.94924,                 0.9363,                0.96911,                0.88131,                0.40008,                0.24906,                0.81165,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.49265,                0.34326,                0.91283,                0.95494,                0.93108,                0.96922,                0.88286,                0.39867,                0.24823,                0.81047,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.50076,                0.34482,                0.91221,                0.95665,                0.92917,                0.96979,                0.88741,                0.39423,                0.24518,                0.80889,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.51848,                0.36828,                0.93282,                0.95514,                0.92975,                0.96946,                0.88894,                0.38982,                0.24411,                0.80768,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                 0.5169,                0.35738,                0.92229,                0.95245,                0.93113,                0.96935,                0.88946,                0.38599,                0.24284,                0.80649,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.49256,                0.34413,                0.91282,                0.95026,                 0.9324,                0.96861,                0.89059,                0.38366,                0.24034,                0.80545,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.46117,                0.33437,                0.90623,                0.94825,                 0.9336,                0.96854,                0.89276,                 0.3816,                0.23868,                0.80514,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.49225,                0.34044,                0.90803,                0.94247,                0.94167,                0.96891,                0.89357,                0.38031,                0.23763,                0.80437,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.47745,                0.34449,                0.90469,                0.94309,                0.94567,                0.96965,                0.89504,                0.37865,                0.23642,                0.80348,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.49165,                0.34019,                0.90839,                0.94633,                0.94601,                0.97062,                0.89861,                0.37555,                0.23338,                0.80265,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.48567,                0.33975,                0.90132,                0.94696,                0.94474,                0.97018,                0.90002,                0.37215,                0.23278,                0.80163,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                 0.4611,                0.33202,                0.90298,                0.94892,                0.94686,                0.97028,                0.89934,                0.37143,                0.23173,                0.80121,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.47724,                0.34434,                0.91113,                0.94732,                0.94712,                0.96935,                 0.9001,                0.37116,                0.23155,                0.80087,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.44712,                0.32341,                0.90004,                0.94583,                0.94642,                0.96949,                0.89921,                0.37008,                0.23132,                 0.8006,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.45564,                 0.3217,                0.89019,                0.94452,                0.94685,                0.96961,                0.89996,                0.36944,                0.22984,                0.80047,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.47629,                0.33632,                0.90759,                0.94473,                0.94734,                 0.9696,                0.89999,                0.36821,                0.22896,                0.80014,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.45309,                0.31731,                0.88838,                0.94322,                0.94829,                0.96976,                0.89956,                 0.3654,                0.22738,                0.79938,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.49613,                  0.347,                0.89241,                0.94347,                0.94751,                0.97019,                0.90008,                0.36257,                0.22751,                0.79868,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.44672,                0.29618,                0.84288,                0.94452,                0.94812,                0.96989,                0.90287,                0.36376,                 0.2274,                0.79867,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                0.45722,                0.30133,                0.86667,                0.94677,                0.94409,                0.96929,                0.90355,                0.36421,                0.22854,                0.79868,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.43184,                0.27968,                0.84439,                0.93912,                0.94776,                0.96907,                0.90287,                0.36546,                 0.2296,                  0.799,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                 0.4316,                0.27051,                0.83616,                0.93656,                0.94444,                0.96886,                0.90309,                0.36677,                0.23042,                0.79915,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.43233,                0.27595,                0.85068,                0.93963,                0.94502,                  0.969,                0.90344,                0.36604,                0.22996,                0.79926,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.42972,                0.28055,                0.84203,                0.94337,                0.94062,                0.96863,                 0.9047,                0.36583,                0.22956,                0.79923,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.39533,                0.25934,                0.84322,                0.94287,                 0.9364,                0.96832,                0.90456,                0.36564,                0.22953,                0.79923,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.40094,                0.25623,                0.84576,                0.94509,                 0.9397,                0.96881,                0.90395,                0.36564,                0.22852,                0.79899,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.41882,                0.26181,                0.84102,                0.94436,                0.94175,                0.96853,                0.90323,                0.36527,                0.22888,                0.79893,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.39208,                0.25293,                0.83036,                0.94654,                 0.9417,                0.96866,                0.90343,                0.36541,                0.22927,                0.79886,             2.3681e-06,             2.3681e-06,             2.3681e-06
